"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6805","TC-005 | Logout from Employee Portal","chromium","2026-01-16","passed","2026-01-16","","employee-dashboard.spec.js","",""
"","6131","CUF-015: CSRF protection - Form has security token","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","6203","Employee direct login","chromium","2026-01-16","passed","2026-01-16","","employee-login.spec.js","",""
"","5829","CUF-010: No sensitive data in page source","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","7282","CUF-009: Forgot password link exists and is clickable","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","7694","CUF-004: Form validation - Empty email shows error","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","5913","CUF-013: Page accessibility - Can navigate with keyboard","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","7173","CUF-007: Password input masks characters","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","6324","TC-001 | Expand Child / Adult Care Request","chromium","2026-01-16","passed","2026-01-16","","employee-dashboard.spec.js","",""
"","4","TC-CP-001 | Care Provider Approval","chromium","2026-01-16","skipped","2026-01-16","End-to-End CARE Flow (Direct Login)","wellchild-care-e2e-direct.spec.js","",""
"","7836","TC-003 | Navigate using Take Me Home","chromium","2026-01-16","passed","2026-01-16","","employee-dashboard.spec.js","",""
"","6720","CUF-003: Submit button is present and clickable","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","1","TC-WCC-001 | Create Well Child Care Request","chromium","2026-01-16","skipped","2026-01-16","End-to-End CARE Flow (Direct Login)","wellchild-care-e2e-direct.spec.js","",""
"","6038","CUF-006: Email input accepts valid format","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","6950","CUF-001: Page loads successfully","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","3","TC-WCC-002 | Employee cancels Well Child Care request","chromium","2026-01-16","skipped","2026-01-16","Employee – Well Child Care Flow","employee-well-child-carerequest.spec.js","",""
"","7707","ERR-002: Handle network error gracefully","chromium","2026-01-16","passed","2026-01-16","Admin Login - Error Handling","admin-login.spec.js","",""
"","479946","TC-WCC-001 | Employee creates Well Child Care request","chromium","2026-01-16","failed","2026-01-16","Employee – Well Child Care Flow","employee-well-child-carerequest.spec.js","",""
"","9057","CUF-012: Form submit with valid credentials attempt","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","7531","CUF-008: Form has remember me option (if available)","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","8593","ERR-001: Invalid email format shows error","chromium","2026-01-16","passed","2026-01-16","Admin Login - Error Handling","admin-login.spec.js","",""
"","6320","CUF-002: Login form is visible and interactive","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","6701","TC-002 | Validate Employee Dashboard is visible","chromium","2026-01-16","passed","2026-01-16","","employee-dashboard.spec.js","",""
"","6","TC-CP-002 | Care Provider Accepted State","chromium","2026-01-16","skipped","2026-01-16","End-to-End CARE Flow (Direct Login)","wellchild-care-e2e-direct.spec.js","",""
"","8341","CUF-005: Form validation - Empty password shows error","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
"","6743","TC-004 | Verify My Support hover menu","chromium","2026-01-16","passed","2026-01-16","","employee-dashboard.spec.js","",""
"","6183","CUF-014: Page is responsive on mobile viewport","chromium","2026-01-16","passed","2026-01-16","Admin Login - Critical User Flows","admin-login.spec.js","",""
